year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2025,1,SIP,Real Estate,17495325789300.0,896033.2381,583096.9524,425268.3492,0.2133,0.3052,5670.5,14.65,4.14
2025,1,HAG,Food & Beverage,12741661360150.0,7559967.7619,6635236.4127,10534540.1071,0.2633,0.2489,1841.81,6.54,1.52
2025,1,TCH,Real Estate,10123470021450.0,3764657.1429,5037652.1587,9353422.2262,0.5276,0.1152,1546.03,9.8,1.09
2025,2,VRE,Real Estate,37606869685500.0,5290705.381,5668310.381,8767078.0317,0.103,0.1027,1802.47,9.18,0.9
2025,2,VPB,Banks,149951156058900.0,9178789.7143,12635283.2063,17976652.369,0.1076,0.1141,1988.78,9.5,1.06
2025,2,SAB,Food & Beverage,69001855613600.0,444653.8571,488748.3492,872674.3492,0.0971,0.1823,3361.48,16.0,2.77
2025,2,HDB,Banks,79163125579800.0,12637543.9524,9779737.2698,7950867.0159,0.0539,0.2579,3728.04,6.08,1.54
2025,2,MBB,Banks,136690907561600.0,9674994.4286,8021625.127,15617464.0714,0.0901,0.2209,3525.07,6.35,1.29
2025,2,BWE,Utilities,10314653403600.0,79498.0952,118774.0476,266274.7341,0.256,0.126,2919.29,16.07,1.93
2025,2,HSG,Basic Resources,10836141292050.0,2803633.1905,4468516.2381,9770913.8571,0.4035,0.0525,934.66,18.67,0.98
2025,2,PLX,Oil & Gas,50188393282500.0,878261.2857,738068.4286,1413997.3929,0.3502,0.1112,2349.75,16.81,1.97
2025,2,OCB,Banks,27616838502400.0,1589456.2857,2797106.3016,2738728.3849,0.3773,0.1054,1243.3,9.01,0.91
2025,2,MSB,Banks,28990000000000.0,4196175.6667,5792745.9841,7431752.8214,0.2476,0.1621,1686.97,6.61,0.82
2025,2,BID,Banks,275900610720000.0,3170287.0476,2383238.3333,2148640.881,0.1385,0.1952,3393.14,11.79,2.07
2025,2,VCG,Construction & Materials,11792291122600.0,6285657.4762,4265612.5397,4671192.5516,0.3609,0.1202,1314.78,14.98,1.51
2025,2,VHM,Real Estate,162242774158000.0,3699452.0952,8723965.4603,9369904.1667,0.3079,0.1665,4729.77,8.35,0.81
2025,2,EIB,Banks,34553467259849.996,4088613.0952,4411653.746,8667232.6468,0.3792,0.1399,1447.26,12.82,1.43
2025,2,REE,Utilities,30615871000000.0,436492.8095,622019.6508,856987.1349,0.4763,0.1101,3867.08,16.81,1.68
2025,2,VEA,Industrial Goods & Services,52001259200000.0,331004.8571,579559.2222,972099.246,0.17,0.2857,4839.29,8.09,1.72
2025,2,BVH,Insurance,37709996411200.0,643924.5714,648752.5873,608152.131,1.463,0.096,2571.34,19.76,1.66
2025,2,GEX,Industrial Goods & Services,17360481818600.0,3644876.5238,4868989.8254,10543392.8532,0.4496,0.1238,1901.28,10.62,1.24
2025,2,SHS,Financial Services,10408406374400.0,6353946.0,5724117.8571,13089999.7341,2.1069,0.0946,1244.44,10.29,0.93
2025,2,GEE,Industrial Goods & Services,10620000000000.0,213847.2381,361764.9841,121542.381,0.3335,0.2685,5293.98,6.69,1.66
2025,3,PVI,Insurance,15459963222000.0,53861.0952,101415.7778,98454.8532,0.0886,0.1081,3631.34,18.18,1.97
2025,3,VRE,Real Estate,39538340334000.0,7148409.0952,6072925.9524,8439930.5595,0.103,0.1027,1802.47,9.65,0.94
2025,3,VPB,Banks,153124725499300.0,13950074.0952,11648207.8413,18102210.5635,0.1076,0.1141,1988.78,9.7,1.08
2025,3,HDB,Banks,80561149872600.0,9326655.619,10237185.1111,8153364.2421,0.0539,0.2579,3667.49,6.28,1.48
2025,3,SAB,Food & Beverage,66051962158000.0,581389.0952,544989.5873,843837.1706,0.0971,0.1823,3376.14,15.25,2.84
2025,3,HSG,Basic Resources,11829712986450.0,6844184.4286,4932296.2063,9476394.0913,0.4035,0.0525,934.66,20.38,1.07
2025,3,MBB,Banks,140352271156999.98,12137018.1905,9165386.1746,15006012.9405,0.0901,0.2209,3728.96,6.17,1.25
2025,3,PLX,Oil & Gas,55334291834250.0,1473472.2857,1006760.0952,1482542.9683,0.3502,0.1112,2274.53,19.15,2.13
2025,3,OCB,Banks,27740127960000.0,3315609.6667,2682841.6349,2693569.8571,0.3773,0.1054,1287.24,8.74,0.88
2025,3,MSB,Banks,29510000000000.0,6232149.4762,5235878.4286,7096890.1349,0.2476,0.1621,2122.84,5.35,0.8
2025,3,BID,Banks,282453250224600.0,3718907.6667,3026960.3651,2294698.5556,0.1385,0.1952,3574.95,11.45,2.03
